country,year,population,gdp_usd,gdp_per_capita_usd,inflation_rate,unemployment_rate,life_expectancy,hdi,co2_tonnes_per_capita,economic_growth_rate
Brazil,2015,531000000,41105772000000,77412,2.0,7.34,76.8,0.836,10.4,0.21
Brazil,2015,1269000000,27615978000000,21762,8.4,17.6,78.6,0.797,7.3,-0.17
Brazil,2015,392000000,13879152000000,35406,11.68,13.66,64.3,0.945,2.48,1.61
Brazil,2015,308000000,12657876000000,41097,8.53,8.96,66.5,0.812,2.58,-0.52
Brazil,2015,800000000,49844800000000,62306,-0.56,8.38,80.2,0.834,10.26,4.59
Brazil,2015,953000000,4191294000000,4398,0.84,11.66,71.3,0.854,18.21,2.16
Brazil,2015,1180000000,92624100000000,78495,8.74,8.74,67.3,0.846,17.66,6.29
Brazil,2015,1200000000,37755600000000,31463,7.83,12.26,72.4,0.678,12.75,-1.83
Brazil,2015,864000000,28746144000000,33271,9.17,13.41,76.5,0.653,8.76,2.46
Australia,2015,1277000000,70430381000000,55153,5.74,12.58,82.1,0.917,6.9,-2.87
Australia,2015,1008000000,15566544000000,15443,-0.5,10.69,65.7,0.871,18.84,3.23
Australia,2015,212000000,16283296000000,76808,4.94,5.28,72.9,0.557,15.96,1.44
Australia,2015,707000000,39086495000000,55285,8.65,9.31,84.8,0.625,10.52,8.19
Australia,2015,1262000000,60692104000000,48092,7.29,6.04,70.8,0.575,1.97,7.99
Australia,2015,1292000000,61567676000000,47653,6.54,3.75,69.0,0.714,19.09,8.66
Australia,2015,807000000,50090490000000,62070,1.76,4.07,79.9,0.882,12.87,2.63
Australia,2015,1156000000,35974720000000,31120,9.59,4.34,77.3,0.891,16.01,1.96
Australia,2015,607000000,44530734000000,73362,7.44,14.48,72.8,0.871,4.99,5.45
Australia,2015,524000000,30051400000000,57350,7.82,9.71,80.5,0.878,7.48,4.85
Australia,2015,661000000,42538655000000,64355,5.3,11.97,64.0,0.918,3.48,0.64
Australia,2015,793000000,7120347000000,8979,0.11,11.03,69.5,0.936,10.85,1.14
Australia,2015,1197000000,4146408000000,3464,7.54,5.36,63.7,0.67,12.36,3.94
Australia,2015,483000000,12478305000000,25835,9.09,7.54,65.5,0.921,15.94,-0.99
Australia,2015,1250000000,16686250000000,13349,7.69,16.3,80.1,0.894,4.35,5.31
Australia,2015,1092000000,12889968000000,11804,8.64,9.02,82.3,0.778,5.66,-0.19
Australia,2015,290000000,18423120000000,63528,5.41,2.94,72.7,0.609,10.08,2.98
Australia,2015,1109000000,88819810000000,80090,10.22,2.11,81.3,0.742,11.47,4.98
Australia,2015,958000000,48518868000000,50646,4.54,18.0,77.5,0.624,7.53,4.76
Australia,2015,47000000,3826317000000,81411,-0.4,13.78,85.0,0.882,2.33,2.81
Italy,2015,300000000,1782600000000,5942,1.77,8.65,64.9,0.589,13.35,1.1
Italy,2015,1081000000,80134530000000,74130,9.02,5.37,72.0,0.723,11.3,6.92
Italy,2015,604000000,29024012000000,48053,9.76,8.46,73.6,0.661,10.38,8.7
Italy,2015,1345000000,88786140000000,66012,9.3,7.29,69.3,0.673,11.94,4.62
Italy,2015,87000000,4678947000000,53781,8.39,16.17,74.5,0.57,6.36,-2.93
Italy,2015,393000000,25060038000000,63766,6.91,12.53,80.1,0.923,12.43,4.4
Italy,2015,1288000000,102600792000000,79659,10.39,3.33,62.9,0.81,12.69,-0.91
Italy,2015,1364000000,34458732000000,25263,10.3,8.75,64.3,0.932,0.76,7.46
Italy,2015,289000000,12151294000000,42046,6.31,6.13,68.9,0.723,6.71,2.17
Italy,2015,1319000000,101953424000000,77296,11.14,2.87,75.1,0.566,2.82,6.72
Italy,2015,1183000000,64518454000000,54538,4.8,2.23,70.9,0.793,18.79,8.77
Italy,2015,978000000,54333768000000,55556,6.13,3.33,72.9,0.917,12.72,2.12
Italy,2015,24000000,418728000000,17447,11.83,15.74,67.0,0.6,9.71,0.31
Italy,2015,1170000000,38907180000000,33254,4.86,13.91,83.2,0.7,15.07,5.34
Italy,2015,301000000,3776948000000,12548,2.81,10.92,73.5,0.825,17.86,7.96
Italy,2015,112000000,637280000000,5690,-0.85,2.24,77.0,0.885,2.05,0.73
Italy,2015,1234000000,28699138000000,23257,11.45,15.36,76.0,0.68,19.0,5.73
Italy,2015,967000000,22549473000000,23319,0.88,14.76,70.4,0.814,12.78,2.02
Italy,2015,794000000,48309342000000,60843,11.28,14.55,75.0,0.67,1.68,8.69
Italy,2015,1233000000,55510893000000,45021,10.3,13.61,62.4,0.612,16.74,4.02
South Korea,2015,509000000,25893339000000,50871,4.04,8.02,79.7,0.646,9.3,5.26
South Korea,2015,663000000,23852751000000,35977,2.48,4.52,83.2,0.863,15.77,0.46
South Korea,2015,293000000,22403073000000,76461,0.91,17.61,80.3,0.775,15.65,3.0
South Korea,2015,1099000000,13901251000000,12649,6.02,9.76,70.8,0.873,14.58,8.79
South Korea,2015,638000000,51707986000000,81047,-0.25,8.33,78.3,0.93,11.93,-2.89
South Korea,2015,793000000,48972508000000,61756,6.03,10.58,70.2,0.576,8.26,3.25
South Korea,2015,536000000,37466936000000,69901,3.17,10.1,66.6,0.637,2.3,6.67
South Korea,2015,598000000,29335488000000,49056,6.51,7.74,79.9,0.901,5.3,8.07
South Korea,2015,1015000000,51283890000000,50526,10.26,7.95,72.7,0.584,6.66,-2.64
South Korea,2015,579000000,40290294000000,69586,6.89,3.51,66.7,0.907,11.53,4.04
South Korea,2015,442000000,15818296000000,35788,11.03,6.48,64.2,0.733,12.07,4.3
South Korea,2015,273000000,9497943000000,34791,9.97,7.42,84.9,0.705,1.04,-2.58
South Korea,2015,762000000,46914054000000,61567,5.33,15.53,82.6,0.904,12.98,8.07
South Korea,2015,189000000,6654690000000,35210,3.14,5.73,64.1,0.928,10.38,-0.81
South Korea,2015,332000000,16638512000000,50116,11.55,17.87,67.1,0.566,5.49,1.22
South Korea,2015,1137000000,5845317000000,5141,9.88,2.75,80.1,0.841,13.11,8.83
South Korea,2015,119000000,1754655000000,14745,0.88,14.08,83.6,0.828,6.33,4.1
South Korea,2015,1341000000,20540097000000,15317,5.12,7.95,71.0,0.704,7.9,2.3
South Korea,2015,298000000,939594000000,3153,5.08,16.6,80.4,0.614,16.74,-2.07
South Korea,2015,1272000000,64111344000000,50402,10.55,4.24,72.3,0.59,18.61,7.11
Mexico,2015,1291000000,14652850000000,11350,4.88,7.44,80.9,0.746,12.75,-1.29
Mexico,2015,458000000,4092230000000,8935,1.34,9.22,82.5,0.73,3.41,2.02
Mexico,2015,510000000,11172060000000,21906,-0.67,11.14,68.8,0.88,5.58,-1.69
Mexico,2015,939000000,60784287000000,64733,0.48,17.66,63.3,0.917,13.53,-0.47
Mexico,2015,982000000,38314694000000,39017,0.55,14.08,84.3,0.727,5.6,-0.14
Mexico,2015,492000000,7029696000000,14288,4.07,8.65,65.7,0.891,19.58,-1.27
Mexico,2015,1315000000,4734000000000,3600,4.75,10.12,73.7,0.732,15.9,8.32
Mexico,2015,591000000,15280305000000,25855,3.68,2.65,71.4,0.664,4.02,7.12
Mexico,2015,1073000000,34015173000000,31701,8.25,5.15,63.8,0.586,12.37,2.95
Mexico,2015,565000000,13830635000000,24479,1.68,11.8,78.3,0.883,11.87,-0.57
Mexico,2015,139000000,9674400000000,69600,4.31,13.55,63.3,0.882,7.04,7.1
Mexico,2015,1014000000,13525746000000,13339,-0.8,16.56,73.0,0.908,5.69,-0.77
Mexico,2015,756000000,4767336000000,6306,1.13,7.94,75.7,0.552,10.64,2.35
Mexico,2015,1061000000,11511850000000,10850,0.57,13.43,80.8,0.905,6.76,5.53
Mexico,2015,786000000,60551868000000,77038,8.77,2.98,82.1,0.941,10.15,3.16
Mexico,2015,1091000000,78474539000000,71929,0.75,5.9,64.0,0.804,3.77,0.74
Mexico,2015,1142000000,6213622000000,5441,-0.75,16.82,79.0,0.657,16.83,4.64
Mexico,2015,955000000,66887245000000,70039,2.1,9.11,70.1,0.589,3.99,0.28
Mexico,2015,957000000,63349572000000,66196,6.62,14.18,64.5,0.6,17.75,3.5
Mexico,2015,470000000,14690790000000,31257,0.91,11.17,79.2,0.617,16.61,8.25
Indonesia,2015,801000000,45347013000000,56613,6.76,11.64,62.8,0.948,1.51,1.36
Indonesia,2015,825000000,27229950000000,33006,9.9,13.45,81.4,0.781,19.72,0.85
Indonesia,2015,825000000,61908825000000,75041,-0.3,10.28,84.0,0.933,5.36,2.07
Indonesia,2015,1300000000,3918200000000,3014,3.74,10.49,63.6,0.728,10.34,-2.75
Indonesia,2015,290000000,16427050000000,56645,11.61,14.43,83.5,0.81,16.28,7.61
Indonesia,2015,87000000,522435000000,6005,10.25,11.93,83.1,0.806,12.75,6.68
Indonesia,2015,78000000,6468462000000,82929,0.31,3.95,62.3,0.647,1.27,-1.64
Indonesia,2015,716000000,16744376000000,23386,0.56,11.51,84.0,0.761,5.73,2.6
Indonesia,2015,1098000000,23005296000000,20952,4.72,10.19,82.4,0.925,11.76,0.29
Indonesia,2015,184000000,13451504000000,73106,2.73,9.27,78.0,0.641,8.04,3.58
Indonesia,2015,756000000,46802448000000,61908,10.59,6.86,73.0,0.886,1.1,1.0
Indonesia,2015,391000000,26848797000000,68667,6.1,17.51,71.1,0.929,3.66,8.42
Indonesia,2015,668000000,49739948000000,74461,3.23,6.32,82.2,0.639,1.61,-2.74
Indonesia,2015,1133000000,11618915000000,10255,6.88,7.57,77.1,0.762,16.77,1.25
Indonesia,2015,228000000,15909612000000,69779,1.93,17.35,79.0,0.613,7.07,1.23
Indonesia,2015,1388000000,38920908000000,28041,7.01,15.6,80.9,0.762,14.91,5.92
Indonesia,2015,978000000,35908248000000,36716,9.2,13.34,83.0,0.602,17.48,-2.95
Indonesia,2015,1131000000,88541466000000,78286,0.53,8.36,84.8,0.611,17.07,0.35
Indonesia,2015,1277000000,103569808000000,81104,0.44,15.63,77.9,0.668,7.38,1.24
Indonesia,2015,1082000000,80382862000000,74291,6.74,12.37,62.2,0.856,19.8,1.57
Saudi Arabia,2015,619000000,15873636000000,25644,5.98,14.85,72.0,0.705,5.02,6.86
Saudi Arabia,2015,681000000,29929269000000,43949,11.6,11.73,67.6,0.684,19.46,7.7
Saudi Arabia,2015,26000000,126152000000,4852,-0.38,11.04,73.4,0.927,15.58,3.46
Saudi Arabia,2015,900000000,62389800000000,69322,9.73,13.63,71.9,0.74,1.29,5.11
Saudi Arabia,2015,932000000,2665520000000,2860,7.79,10.4,64.3,0.704,8.32,3.74
Saudi Arabia,2015,1180000000,25621340000000,21713,10.44,17.43,73.2,0.73,12.68,8.95
Saudi Arabia,2015,708000000,50258088000000,70986,8.7,3.48,70.3,0.7,1.96,0.73
Saudi Arabia,2015,364000000,5818176000000,15984,7.53,6.72,69.9,0.934,10.42,8.66
Saudi Arabia,2015,1297000000,28532703000000,21999,5.81,15.06,66.8,0.916,8.54,-2.28
Saudi Arabia,2015,1162000000,93602586000000,80553,0.39,11.12,76.5,0.846,13.99,-2.87
Saudi Arabia,2015,10000000,417050000000,41705,8.24,10.85,83.1,0.713,2.42,-2.81
Saudi Arabia,2015,65000000,1772875000000,27275,1.28,14.3,75.0,0.907,17.96,3.17
Saudi Arabia,2015,299000000,22962004000000,76796,1.58,11.63,65.3,0.763,10.44,-2.65
Saudi Arabia,2015,160000000,3816320000000,23852,11.32,9.85,72.8,0.727,16.11,4.8
Saudi Arabia,2015,1190000000,52136280000000,43812,0.87,5.81,68.3,0.563,12.76,7.31
Saudi Arabia,2015,1197000000,11682720000000,9760,3.54,9.2,70.9,0.572,17.87,3.99
Saudi Arabia,2015,94000000,5557656000000,59124,-0.29,5.81,67.1,0.615,11.95,-0.92
Saudi Arabia,2015,17000000,1040315000000,61195,2.95,11.64,84.1,0.753,19.02,-0.08
Saudi Arabia,2015,803000000,62756859000000,78153,1.88,6.95,82.1,0.749,15.96,-0.08
Saudi Arabia,2015,360000000,8557920000000,23772,3.66,4.98,84.3,0.669,11.45,-1.62
South Africa,2015,1098000000,57141018000000,52041,3.37,12.42,84.1,0.723,18.3,3.65
South Africa,2015,798000000,21194880000000,26560,5.07,7.51,72.0,0.664,0.99,6.66
South Africa,2015,500000000,9260500000000,18521,0.2,6.31,81.2,0.602,9.14,7.04
South Africa,2015,496000000,11095024000000,22369,3.78,5.46,71.3,0.808,11.82,0.57
South Africa,2015,979000000,66247951000000,67669,1.66,15.73,77.5,0.936,19.96,4.15
South Africa,2015,906000000,71132778000000,78513,11.87,10.55,71.3,0.759,2.95,6.01
South Africa,2015,1393000000,95758999000000,68743,0.19,15.63,78.9,0.864,1.06,5.62
South Africa,2015,302000000,12754970000000,42235,-0.8,13.37,78.0,0.868,5.02,-0.74
South Africa,2015,228000000,2376444000000,10423,6.31,7.78,73.5,0.672,1.79,0.74
